gene_name	log2FoldChange	pvalue	padj	wormbase_gene	chr	start	end	strand	biotype	HK2	HK4	HK5	HK6
2L52.1	-1.39213345478526	0.0377840958006826	0.114273994089223	WBGene00007063	II	1848	4717	1	protein_coding	67.6965163103404	90.2398170138335	123.977596011467	290.774706447449
4R79.2	-0.281575613762325	0.785969715997144	0.872834851453871	WBGene00007067	IV	17480396	17483332	-1	protein_coding	38.3950391013871	21.354460514724	45.8717105242428	26.6277203706455
6R55.2	-6.04474555100188	0.131220956061074	0.270596351626154	WBGene00007069	X	17714456	17714832	1	protein_coding	0	0	0	20.2370674816906
aagr-1	2.54098015734158	1.5045471067868e-06	2.58816689657141e-05	WBGene00017071	IV	8366539	8375371	1	protein_coding	1864.18018794893	2053.47247723846	495.910384045868	177.873172075912
aagr-2	1.92535630265982	6.41361540388026e-08	1.53087987455298e-06	WBGene00019895	II	4914494	4925248	-1	protein_coding	2743.22450421753	3189.39200590877	891.398915322447	671.018553340267
aagr-3	0.383426701590039	0.215980859887062	0.378719337910927	WBGene00009583	V	9725972	9729510	-1	protein_coding	3898.10686455662	3792.13887527598	2887.43821110706	3007.86729306812
aagr-4	0.539256077250687	0.181909114245273	0.338445027821328	WBGene00018682	X	460651	466912	1	protein_coding	1418.59565521967	1576.09695669963	1280.68856679845	780.724761267326
aak-1	0.60884192947604	0.239315486355726	0.405800540312689	WBGene00019801	III	8756995	8761101	-1	protein_coding	267.754877943884	200.456387412409	167.36975461548	139.529254742182
aak-2	-0.644187844043137	0.069895809556706	0.17681891241137	WBGene00020142	X	16796087	16803357	1	protein_coding	789.119093110088	908.597852223255	1443.09921757348	1211.02872245696
aakb-1	-1.29542325426339	0.00224700252040979	0.0135490087511898	WBGene00010115	X	13755771	13759391	1	protein_coding	246.536566861538	203.900655237364	600.0515646955	504.861578227439
aakb-2	-0.563513418173572	0.216501385508309	0.379140593531417	WBGene00012928	III	11237149	11238252	1	protein_coding	228.349443076671	218.366580102177	291.347350626947	368.527649929734
aakg-1	0.0937957886079741	0.828500618367111	0.901049360837307	WBGene00013732	III	12538664	12575401	-1	protein_coding	596.133501837326	853.489567023968	810.813477914994	548.531039635297
aakg-2	0.419306183882896	0.416704466126615	0.590121029527907	WBGene00020633	X	16866069	16869031	-1	protein_coding	203.089548931021	228.699383577044	184.726618057086	138.464145927357
aakg-3	-2.19330647875269	0.0226372616798259	0.0787332694167499	WBGene00021527	X	2976457	2981008	1	protein_coding	12.1247491899117	25.4875819046705	48.3512624444721	124.617731334621
aakg-4	-3.26600415685558	1.48756476892936e-12	7.92273819636897e-11	WBGene00020135	X	2314896	2319333	-1	protein_coding	60.6237459495586	84.7289884939048	605.010668535959	797.766502304539
aakg-5	-1.87226850932157	1.39544990155974e-06	2.42840735194687e-05	WBGene00011276	II	9971035	9975125	-1	protein_coding	443.563741197604	418.822967514586	1280.68856679845	1875.65662290827
aap-1	-0.537093160985192	0.291787770375438	0.465802215620138	WBGene00000001	I	5107833	5110183	1	protein_coding	201.068757399369	219.055433667168	228.118776661099	381.308955707644
aars-1	0.3518093313725	0.511263773340163	0.673556717658245	WBGene00000196	II	11460215	11464129	-1	protein_coding	188.944008209458	192.878998197507	174.808410376168	124.617731334621
aars-2	-0.0649632742573237	0.840567120223914	0.907212950173289	WBGene00000197	I	3983171	3986915	1	protein_coding	2869.52397494577	2464.02920197315	2878.75977938626	2700.05084558345
aass-1	1.56622498824415	0.000116031992612677	0.00117333432529819	WBGene00019819	IV	245114	251925	1	protein_coding	1383.23180341576	1600.89568503931	617.408428137105	390.894935041076
