gene_name	wormbase_gene	chr	start	end	strand	biotype	HK2	HK4	HK5	HK6
2L52.1	WBGene00007063	II	1848	4717	1	protein_coding	67.6965163103404	90.2398170138335	123.977596011467	290.774706447449
4R79.2	WBGene00007067	IV	17480396	17483332	-1	protein_coding	38.3950391013871	21.354460514724	45.8717105242428	26.6277203706455
6R55.2	WBGene00007069	X	17714456	17714832	1	protein_coding	0	0	0	20.2370674816906
aagr-1	WBGene00017071	IV	8366539	8375371	1	protein_coding	1864.18018794893	2053.47247723846	495.910384045868	177.873172075912
aagr-2	WBGene00019895	II	4914494	4925248	-1	protein_coding	2743.22450421753	3189.39200590877	891.398915322447	671.018553340267
aagr-3	WBGene00009583	V	9725972	9729510	-1	protein_coding	3898.10686455662	3792.13887527598	2887.43821110706	3007.86729306812
aagr-4	WBGene00018682	X	460651	466912	1	protein_coding	1418.59565521967	1576.09695669963	1280.68856679845	780.724761267326
aak-1	WBGene00019801	III	8756995	8761101	-1	protein_coding	267.754877943884	200.456387412409	167.36975461548	139.529254742182
aak-2	WBGene00020142	X	16796087	16803357	1	protein_coding	789.119093110088	908.597852223255	1443.09921757348	1211.02872245696
aakb-1	WBGene00010115	X	13755771	13759391	1	protein_coding	246.536566861538	203.900655237364	600.0515646955	504.861578227439
aakb-2	WBGene00012928	III	11237149	11238252	1	protein_coding	228.349443076671	218.366580102177	291.347350626947	368.527649929734
aakg-1	WBGene00013732	III	12538664	12575401	-1	protein_coding	596.133501837326	853.489567023968	810.813477914994	548.531039635297
aakg-2	WBGene00020633	X	16866069	16869031	-1	protein_coding	203.089548931021	228.699383577044	184.726618057086	138.464145927357
aakg-3	WBGene00021527	X	2976457	2981008	1	protein_coding	12.1247491899117	25.4875819046705	48.3512624444721	124.617731334621
aakg-4	WBGene00020135	X	2314896	2319333	-1	protein_coding	60.6237459495586	84.7289884939048	605.010668535959	797.766502304539
aakg-5	WBGene00011276	II	9971035	9975125	-1	protein_coding	443.563741197604	418.822967514586	1280.68856679845	1875.65662290827
aap-1	WBGene00000001	I	5107833	5110183	1	protein_coding	201.068757399369	219.055433667168	228.118776661099	381.308955707644
aars-1	WBGene00000196	II	11460215	11464129	-1	protein_coding	188.944008209458	192.878998197507	174.808410376168	124.617731334621
aars-2	WBGene00000197	I	3983171	3986915	1	protein_coding	2869.52397494577	2464.02920197315	2878.75977938626	2700.05084558345
aass-1	WBGene00019819	IV	245114	251925	1	protein_coding	1383.23180341576	1600.89568503931	617.408428137105	390.894935041076
aat-1	WBGene00000002	IV	9598986	9601695	-1	protein_coding	253.60933722232	125.371348828379	198.364153618347	186.394042594519
aat-2	WBGene00000003	V	9244402	9246360	-1	protein_coding	113.164325772509	161.880587772907	127.696923891811	149.115234075615
aat-3	WBGene00000004	X	2552436	2557726	1	protein_coding	201.068757399369	218.366580102177	396.728307236694	464.387443264058
aat-4	WBGene00000005	IV	6272529	6275713	-1	protein_coding	130.341053791551	73.0184778890561	4.95910384045868	6.39065288895492
aat-5	WBGene00000006	I	2571782	2576020	-1	protein_coding	220.266276950063	358.20385379537	287.628022746603	350.420800077695
aat-6	WBGene00000007	V	11466844	11470663	-1	protein_coding	404.158306330391	288.629643731269	37.1932788034401	62.8414200747234
aat-7	WBGene00000008	II	1386888	1391567	1	protein_coding	8.08316612660781	19.9767533847418	6.19887980057335	28.7579380002971
aat-8	WBGene00000009	IV	3862129	3865042	-1	protein_coding	2.02079153165195	22.0433140797151	37.1932788034401	35.1485908892521
aat-9	WBGene00000010	I	11388689	11396660	-1	protein_coding	212.183110823455	201.1452409774	131.416251772155	139.529254742182
abce-1	WBGene00012714	III	13153817	13160284	1	protein_coding	1669.17380514451	1410.77210110176	626.086859857908	757.292367341158
abcf-1	WBGene00006512	V	12761044	12763375	-1	protein_coding	1289.26499719395	779.78223556992	461.196657162657	541.075277931517
abcf-2	WBGene00012097	III	13457687	13462238	-1	protein_coding	5419.76288789054	4761.35584121845	3301.52338178536	3022.77881647568
abcf-3	WBGene00018339	III	6173305	6176171	1	protein_coding	1637.85153640391	1195.84978882454	736.426920308114	439.889940523064
abch-1	WBGene00016973	II	6528933	6531610	-1	protein_coding	36.3742475697352	23.4210212096973	30.9943990028667	11.716196963084
abcx-1	WBGene00006522	II	6532163	6535455	1	protein_coding	17.1767280190416	24.7987283396794	23.5557432421787	38.3439173337295
abf-1	WBGene00000012	I	3886111	3887080	-1	protein_coding	0	1.37770712998219	0	0
abf-2	WBGene00000013	I	3885548	3885905	-1	protein_coding	89.9252231585119	83.3512813639226	60.7490220456188	54.3205495561168
abf-3	WBGene00000014	V	15817410	15817846	-1	protein_coding	0	0	0	0
abf-4	WBGene00000015	V	20557945	20558379	-1	protein_coding	0	0	0	0
abf-5	WBGene00000016	X	12792727	12793386	1	protein_coding	100.029180816772	129.504470218326	55.7899182051601	9.58597933343238
abf-6	WBGene00000017	X	12794118	12794870	1	protein_coding	63.6549332470365	81.9735742339404	57.0296941652748	3.19532644447746
abhd-11.1	WBGene00009316	I	11515127	11517108	1	protein_coding	0	0	0	0
abhd-11.2	WBGene00011029	I	12181046	12183297	-1	protein_coding	237.443004969104	152.925491428023	81.8252133675682	73.4925082229816
abhd-12	WBGene00022393	V	7983849	7985954	1	protein_coding	440.532553900126	420.200674644568	1160.43029866733	1478.37103497824
abhd-14	WBGene00021927	IV	1027787	1030024	-1	protein_coding	170.75688442459	234.899065661964	99.1820768091736	143.789690001486
abhd-3.1	WBGene00013358	V	19955453	19958912	1	protein_coding	602.195876432282	626.856744141897	516.986575367817	391.960043855902
abhd-3.2	WBGene00016644	X	975525	978445	-1	protein_coding	253.60933722232	296.895886511162	76.8661095271095	4.26043525930328
abhd-5.1	WBGene00016506	V	4847653	4849838	1	protein_coding	104.070763880076	57.1748458942609	99.1820768091736	84.1435963712398
abhd-5.2	WBGene00016507	V	4844685	4846984	1	protein_coding	470.844426874905	208.722630192302	266.551831424654	275.863183039887
abi-1	WBGene00015146	III	5690107	5692740	-1	protein_coding	299.077146684489	250.053844091768	208.282361299264	198.110239557603
abl-1	WBGene00000018	X	10605832	10624185	-1	protein_coding	409.21028515952	509.751638093411	851.726084598778	627.349091932408
abt-1	WBGene00000019	IV	10206189	10214911	-1	protein_coding	27.2806856773014	15.1547784298041	4.95910384045868	0
abt-2	WBGene00000020	I	2255923	2272866	-1	protein_coding	253.60933722232	755.672360795232	575.256045493207	148.050125260789
abt-4	WBGene00000022	V	323774	330725	-1	protein_coding	922.491334199117	2288.37154290042	700.473417464788	226.8681775579
abt-5	WBGene00000023	I	12011195	12018668	1	protein_coding	38.3950391013871	4.82197495493767	6.19887980057335	18.1068498520389
abt-6	WBGene00018982	I	6139216	6140444	-1	protein_coding	0	0	0	0
abtm-1	WBGene00022281	I	2472066	2485391	-1	protein_coding	245.526171095712	221.810847927133	130.17647581204	75.6227258526332
abts-1	WBGene00009920	I	8296917	8307566	-1	protein_coding	1312.50409980794	1392.861908412	3192.42309729527	2207.97057313393
abts-2	WBGene00009929	X	11585675	11589757	1	protein_coding	59.6133501837326	62.6856744141897	24.7955192022934	30.8881556299488
abts-3	WBGene00019018	II	6132895	6157176	1	protein_coding	301.097938216141	414.000992559649	1076.12553337953	1049.13218260343
abts-4	WBGene00019844	X	6747296	6761738	-1	protein_coding	306.149917045271	329.960857630735	287.628022746603	459.061899189929
abu-1	WBGene00000024	V	10380340	10381826	-1	protein_coding	302.108333981967	374.736339355156	27.2750711225227	0
abu-10	WBGene00000033	X	3798179	3799741	1	protein_coding	292.004376323707	112.97198465854	95.4627489288295	219.412415854119
abu-11	WBGene00000034	II	192531	194558	-1	protein_coding	516.312236337074	387.135703524996	291.347350626947	537.879951487039
abu-12	WBGene00004127	X	450446	457648	-1	protein_coding	465.792448045775	265.208622521572	1255.89304759616	1058.71816193687
abu-13	WBGene00004133	III	6941889	6945895	-1	protein_coding	1280.17143530151	782.537649829885	971.984352729901	1138.6013230488
abu-14	WBGene00004174	II	9225186	9227261	-1	protein_coding	1966.23016029735	1384.5956656321	949.668385447837	1286.65144830959
abu-15	WBGene00004099	V	5158623	5159907	1	protein_coding	255.630128753972	94.3729384037801	83.0649893276829	113.966643186363
abu-2	WBGene00000025	X	1408836	1410652	-1	protein_coding	26.2702899114754	8.95509634488424	1.23977596011467	46.8647878523361
